undermining	disobey
half	common_fraction
impersonation	wit
upload	transfer
shooting	propulsion
disapproval	dislike
hall	corridor
idol	effigy
pollution	environmental_condition
pretend	pretense
wreck	decline
tea	beverage
imperfect	tense
drunk	drinker
slaloming	ski
diverges	move
pick	decision_making
installments	payment
doles	share
ten	large_integer
daring	challenge
sake	benefit
pics	product
seamstress	garmentmaker
energy	physical_phenomenon
blasts	fly
spreading	change_of_location
investment	finance
scratch	wound
compassionate	grieve
standards	system_of_measurement
1	digit
2	digit
3	digit
travelogue	attraction
depictions	description
triple	base_hit
4	digit
5	digit
6	digit
7	digit
8	digit
professors	academician
unhinged	disturb
9	digit
rounded	travel
amusing	entertain
jackass	fool
telling	narration
hang	endowment
role	duty
turf	land
vengeance	retaliation
turd	fecal_matter
cliff	geological_formation
roll	rotation
turn	curve
perseverance	determination
ceo	corporate_executive
blond	person
result	phenomenon
gold	precious_metal
ces	metallic_element
rejects	decision_making
golf	outdoor_game
same	european
pies	pastry
wreak	make
positives	adjective
staircase	way
hand	extremity
reigns	time_period
resume	summary
a	metric_linear_unit
ordered	request
b	eubacteria
salt	compound
d	fat-soluble_vitamin
e	antioxidant
f	degree
laden	remove
spiral	curve
h	chemical_element
visualizing	imagine
i	chemical_element
truncated	substitute
j	work_unit
k	temperature_unit
eating	consumption
l	metric_capacity_unit
blood	liquid_body_substance
m	metric_linear_unit
neighbor	person
n	chemical_element
gripping	seize
o	chemical_element
straight	person
p	chemical_element
stasis	pathology
q	letter
entering	change_of_location
r	radioactivity_unit
sale	selling
s	time_unit
t	pyrimidine
stumblebum	boxer
enchantment	liking
exciting	arouse
sunset	hour
w	metallic_element
x	large_integer
information	message
regain	get
dogged	pursue
plasma	extracellular_fluid
straining	effort
spouting	pour
confluence	geographic_point
powered	provide
screenplays	script
good	advantage
empty	container
faithful	following
reproduce	produce
gong	percussion_instrument
tie	neckwear
skeleton	minimum
grizzled	sulk
curlers	mechanical_device
rendition	performance
romp	victory
suffered	experience
myriad	large_indefinite_quantity
masterpieces	work
claptrap	grandiosity
chomps	eating
irrelevancy	unconnectedness
sustains	continue
laugh	utterance
delivering	talk
fantasy	imagination
suspecting	guess
deform	change
unhappiness	feeling
disguised	hide
sand	soil
walked	travel
savaged	assail
aside	actor
cia	independent_agency
harm	ill_health
disturbed	affect
raging	act
notations	writing
provided	give
effecting	cause
rope	line
aboriginal	australian
embody	be
representation	content
sociopaths	neurotic
muster	gathering
provides	give
motivate	cause
root	plant_organ
nosedive	decline
projection	prediction
hare	leporid
assaults	battle
effectiveness	power
saps	solution
caliber	degree
plotting	plan
multiple	product
room	area
featherweight	boxer
oversimplification	simplification
better	good
creeps	animal_disease
cancer	malignant_tumor
artistes	performer
taking	action
madmen	sick_person
romance	relationship
terrifying	frighten
pupils	enrollee
illustrates	elaborate
breadth	intelligence
pile	collection
catalog	book
artistry	superior_skill
illuminates	lighten
immortal	celebrity
hats	headdress
overused	use
predisposed	dispose
pill	thing
chilly	hot_pepper
frustrations	disappointment
sexes	bodily_process
chills	coldness
burlesque	show
gained	obtain
flashing	experience
flop	computer_operation
struck	touch
hate	emotion
block	artifact
poets	writer
flow	change_of_location
order	command
conceit	pride
protecting	defend
pressed	touch
timid	people
resonance	physical_phenomenon
flog	beat
illustrated	elaborate
presses	urgency
transparency	physical_phenomenon
castrated	weaken
shockers	bad_person
tnt	explosive_compound
homage	deference
hash	dish
women	adult
scriptwriters	writer
pink	chromatic_color
woman	adult
save	prevention
cameras	photographic_equipment
scrap	fragment
ton	avoirdupois_unit
tom	black
top	region
enliven	stimulate
honesty	righteousness
concoctions	foodstuff
have	person
casting	copy
rote	memorization
redundancy	repetitiveness
shorts	trouser
jagged	cut
toy	artifact
haul	pull
adultery	extramarital_sex
implications	inference
question	questioning
drugs	agent
asian	inhabitant
spirit	vital_principle
intellectual	person
wishing	desire
goth	unpleasant_person
allegory	story
picture	representation
jugglers	performer
trusts	property
regard	detail
warmed	change
rose	shrub
markers	artifact
resurrect	resuscitate
rosa	rosid_dicot_genus
thousand	large_integer
captives	unfortunate
rooting	growth
con	argument
criticizing	comment
bedevilling	harass
kudos	approval
cop	policeman
tortured	pain
findings	collection
cow	cattle
graces	state
cox	enzyme
homicide	killing
abilities	quality
quietude	calmness
unfurls	change_surface
academic	educator
coral	pink
pipe	tube
graced	change
actress	actor
circumstances	condition
plumbs	bob
sneaks	unpleasant_person
patriot	national
introducing	inform
pardon	kindness
plenty	abundance
christmas	season
cleaver	knife
markets	activity
defeats	ending
mounting	rise
obligation	social_control
skateboards	board
spotlights	prominence
try	activity
hawk	bird_of_prey
rarity	scarcity
specialized	change
became	change_state
chicken	poultry
spliced	join
exterior	region
scenery	stage_set
scripting	write
times	time_period
mishandle	fail
cowering	crouch
muscle	contractile_organ
flux	rate
skullduggery	misrepresentation
jelly	dainty
jolted	move
says	opportunity
direction	path
comments	statement
inspector	policeman
cry	utterance
damning	raise
probe	inquiry
horizons	line
doggie	dog
activities	act
bonding	personal_relation
adopts	choose
flicks	contact
directing	order
productions	act
sketch	drawing
narcissism	conceit
respond	act
incident	happening
rorschach	projective_test
tub	vessel
caught	surprise
tug	pull
fullness	completeness
overacted	act
concert	performance
pity	sympathy
freshness	newness
infatuation	passion
fairies	spiritual_being
plaintiveness	mournfulness
infuriating	anger
defines	be
concern	interest
tux	formalwear
etched	print
state	administrative_district
strut	gait
jumble	disorderliness
worker	person
defined	be
element	part
genes	sequence
dumplings	pasta
downplays	inform
concealment	isolation
dissecting	cut
synagogue	place_of_worship
opposite	word
piss	body_waste
jackal	canine
restraint	control
aftermath	consequence
cub	novice
cue	actor
offering	message
cuteness	beauty
restrained	inhibit
directs	order
stereotype	representation
shots	propulsion
instigator	troublemaker
sweeping	cleaning
cup	container
wasting	infirmity
cut	share
warrior	person
stave	musical_notation
revelations	speech_act
weighed	measure
dread	fear
battery	artillery
two	digit
downbeat	rhythm
moment	point
shattering	breakage
halos	light
twirling	revolve
worries	negative_stimulus
tear	drop
mettle	courage
attack	operation
humour	feeling
reported	inform
skinny	information
attach	connect
shout	utterance
kitchen	room
creation	activity
inclination	attitude
stench	smell
think	deliberation
ingredient	component
participate	act
masquerading	disguise
desires	feeling
forbidden	command
wrecks	decline
accused	defendant
librarian	professional
replaced	regenerate
lottery	accident
team	unit
sleepwalk	walk
mongrel	variation
marketing	commerce
filling	material
hooting	utter
torture	distress
mistress	lover
watch	timepiece
violinist	musician
thing	situation
margins	boundary
slapped	strike
clips	supply_chamber
congeniality	compatibility
caucasian	person
registering	record
undertone	tone
elizabethans	person
sexploitation	exploitation
anna	indian_monetary_unit
participant	associate
domestic	servant
deception	falsehood
dying	end
paying	give
blows	stroke
shoot	sprout
starts	beginning
twists	development
stability	steadiness
budget	fund
glass	solid
reflection	consideration
ultimate	quality
campus	field
jacket	coat
surprising	affect
kiddies	child
privileged	permit
technologies	application
frailty	unfitness
exposing	subject
suited	meet
pacing	musical_time
opposites	word
assume	expect
thumbs	finger
clumsiness	unskillfulness
memory	representation
scientist	person
mystique	air
concept	idea
tinsel	decoration
house	building
leftovers	food
disaster	adversity
dissection	cut
underachieves	do
hitch	time_period
chilling	temperature_change
underachiever	student
lifting	move
stare	look
agnostic	person
rackets	noise
offerings	message
shoplifts	steal
hours	work_time
squashed	press
start	beginning
shore	geological_formation
stars	celestial_body
footnote	note
teen	juvenile
stylist	artist
lifestyle	manner
bypass	highway
borderline	boundary
marvel	happening
fallen	travel
hotels	building
short	tract
illuminated	lighten
replete	consume
reducing	chemical_reaction
feces	body_waste
stumbles	gait
fencing	barrier
measured	decide
rewarding	recognize
attitudes	cognition
ninety	large_integer
obstacles	hindrance
truths	fact
facade	front
hanukkah	jewish_holy_day
imagined	create_by_mental_act
squabbling	argue
consistency	property
trains	public_transport
fuddled	intoxicate
climb	slope
stylings	name
grasps	understanding
imagines	prototype
gallery	audience
flowers	angiosperm
warmth	temperature
convincing	persuade
destroy	unmake
dates	day
hostage	prisoner
deemed	see
doings	activity
coast	shore
echelons	military_unit
dolly	conveyance
dolls	plaything
shenanigans	misbehavior
ants	hymenopterous_insect
introspection	contemplation
overstated	misinform
consume	eat
planned	intend
unknown	region
cinematography	photography
comedies	drama
stereotyped	classify
competence	ability
cockney	londoner
coughed	expectorate
manners	demeanor
spellbinding	interest
wallet	case
performer	entertainer
blown	exhale
bedside	side
pipeline	gossip
downtime	time_period
ante	stake
flurries	commotion
shootings	propulsion
vignettes	description
satire	wit
hanging	decoration
cling	edible_fruit
projectile	weapon
endorsement	promotion
dad	father
friendly	military_personnel
possession	control
stoked	tend
bushels	united_states_dry_unit
shores	geological_formation
flames	combustion
frothing	bubble
runaway	victory
daughters	female_offspring
enlightening	teach
shows	entertainment
emptiness	condition
shown	show
infusion	solution
courtroom	room
storyline	plot
das	placental
interludes	time_interval
pointing	inform
speeds	rate
day	time_unit
keeps	resource
1980s	decade
living-room	room
flattened	shape
raising	rise
stereotypes	representation
drinking	consumption
island	land
format	information
shrapnel	shell
artwork	visual_communication
water	binary_compound
slasher	attacker
fried	heat
savour	taste
stays	foundation_garment
formal	dance
instructor	educator
interlocked	organize
infusing	drill
canadians	north_american
concentrating	change_state
tens	large_integer
entertain	socialize
stacked	load
savory	herb
opportunists	selfish_person
boards	theater_stage
epics	poem
comedian	performer
brimming	have
guarded	watch
tend	be
tones	manner_of_speaking
specimen	example
dated	go_out
cutes	body_covering
psychic	occultist
hinges	joint
introduction	beginning
